,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
toplumsal_cinsiyet_eşitliği,0,0,1,1,1,4,3,2
hızlı_tren_hatlarını,2,2,0,0,0,0,0,0
dış_politika,40,41,47,53,7,21,1,1
dünya_bankası,8,8,0,0,0,0,0,0
emek,35,46,43,46,16,44,35,37
organize_sanayi,1,2,2,2,0,2,0,0
ermenistan,3,3,2,2,1,1,2,2
savaş,6,7,9,12,2,7,27,10
gap,20,21,8,9,1,1,0,0
sosyal_demokrat,0,0,8,8,0,0,0,0
doğalgaz,5,6,1,1,0,0,0,0
akdeniz,5,6,5,5,0,1,0,0
trt,0,0,4,4,0,0,0,0
ahlak,13,14,4,4,2,42,1,1
konya_ovası,5,5,0,0,0,0,0,0
radikal,0,0,3,1,0,0,6,1
ceyhan,3,3,0,0,2,3,0,0
yeni_türkiye,31,29,0,0,0,0,0,0
çin,3,3,6,6,1,1,0,0
orta_doğu,7,7,16,24,0,1,0,0
yükseköğrenim,6,7,2,2,1,2,0,0
ideolojik,3,3,4,7,0,4,2,2
hayvancılık,4,4,0,1,2,13,1,1
işkur,8,8,1,7,0,0,0,0
sosyal_destek,13,14,9,7,3,5,4,4
silvan,5,5,0,0,0,0,0,0
metro,14,16,1,1,0,1,0,0
özgürlük,31,35,39,42,2,9,27,17
bireysel_emeklilik,6,6,1,1,0,1,0,0
mesleki_eğitim,6,6,20,23,4,17,1,1
doğu_karadeniz,6,6,0,0,0,0,0,0
kentsel_dönüşüm,24,25,19,18,0,4,3,2
mali_piyasalar,6,6,0,0,0,3,0,0
stk,15,18,14,21,0,0,0,0
yerli_marka_otomobil,3,3,0,0,0,0,0,0
ortaöğretim,13,13,16,15,2,8,0,0
hak_ve_özgürlükler,18,18,7,12,0,17,4,4
kâr,1,1,5,7,0,0,3,3
işçi,16,18,34,38,6,28,41,49
terör,21,28,27,32,18,101,1,1
olimpik,6,6,4,4,0,0,0,0
sosyal_diyalog,3,3,2,2,0,0,0,0
islam,10,11,0,0,2,7,1,1
avrupa,57,58,23,31,1,8,7,5
kan,146,154,48,57,5,57,8,5
yavuz_sultan_selim,2,4,0,0,0,0,0,0
libya,1,1,6,7,0,0,0,0
kız_çocukları,9,9,6,7,0,1,0,0
bölücü,0,0,0,0,3,22,0,0
balkan,10,10,10,8,1,3,0,0
istihdam,131,135,65,74,15,125,19,20
müteahhitlik,5,5,0,0,0,0,0,0
enflasyon,26,26,7,8,1,15,0,0
şehit,1,1,2,12,3,12,0,0
tarım_sektörü,4,4,3,3,1,7,0,0
g-20,7,7,0,0,0,0,0,0
kdv,4,7,2,1,6,7,1,1
mazot,2,2,1,1,2,3,1,1
orman,32,29,2,35,3,17,8,5
küresel_güç_türkiye,0,0,0,0,4,9,0,0
kore,1,1,2,2,0,0,0,0
ekolojik,2,2,12,12,1,3,12,10
sosyal_devlet,4,4,20,16,0,1,1,1
kredi_garanti_fonu,3,4,2,2,3,4,0,0
refah,37,41,30,32,4,31,2,2
barış,29,29,59,65,8,46,23,8
sgk,14,14,0,0,0,0,0,0
yasal_düzenlemeler,3,5,35,35,0,1,5,3
güneş_enerjisi,1,1,3,4,0,2,0,0
çalışma_koşulları,1,1,9,13,0,0,6,6
filistin,4,4,0,0,0,2,3,3
ege,5,7,12,17,1,13,7,5
sanatçılar,3,3,13,11,0,2,1,2
ırkçılık,1,1,0,0,0,0,2,2
yasal_güvence,0,0,11,12,0,0,1,1
tüketici,9,9,28,24,2,15,1,1
olimpiyat,7,5,3,3,0,1,0,0
pozitif_ayrımcılık,2,3,2,2,1,1,2,2
savunma_sanayii,10,13,0,0,1,1,0,0
kafkasya,7,6,7,6,2,5,0,0
bölgesel_kalkınma,3,4,8,7,2,6,0,0
demokrasi,52,56,65,85,1,39,21,14
tübitak,6,8,2,2,0,0,0,0
nükleer,6,6,6,7,0,7,4,3
yaşam_boyu_öğrenme,0,0,3,4,0,1,0,0
uçak,13,12,1,1,0,0,0,0
osb,16,16,5,5,3,3,0,0
diyanet,0,1,3,3,0,3,2,2
hak_ve_hürriyetler,8,9,1,1,1,5,0,0
esnaf,10,13,25,24,15,48,3,3
ortadoğu,6,6,1,2,0,6,2,2
sosyal_yardım,27,27,11,13,1,12,6,6
yunanistan,3,3,5,4,1,3,1,0
kalkınma_ajansları,8,8,7,6,0,0,0,0
sağlık_hizmeti,6,7,4,4,0,3,2,3
çözüm_süreci,23,30,0,2,0,4,3,2
madencilik,6,6,1,1,0,3,1,1
uluslararası_hukuk,2,2,9,9,2,9,0,0
istikrar,90,102,27,36,10,48,0,0
kırsal_kalkınma,16,18,3,4,1,7,0,0
bilgisayar,8,8,0,1,3,12,0,0
rekabet_gücü,24,23,7,8,3,26,0,0
asker,22,22,9,18,2,17,3,4
doğu_anadolu,6,6,1,2,0,0,0,0
güneydoğu,4,4,3,5,0,1,0,0
kış_turizmi,6,6,1,1,1,1,0,0
çevre,77,82,48,55,8,67,4,2
kimlik,16,18,9,10,0,20,10,8
türk_dünyası,1,1,0,0,3,18,0,0
laiklik,0,0,8,9,0,1,2,2
yeni_anayasa,35,35,1,1,0,0,2,2
tbmm,7,8,26,37,1,1,0,0
atletizm,3,3,0,0,0,0,0,0
soydaş,8,8,0,0,1,5,0,0
dayanışma,6,6,27,26,0,11,9,7
demir_yolu,1,1,22,22,1,1,0,0
borsa,9,9,0,0,2,11,0,0
entegre_sağlık_kampüsü,14,14,0,0,0,0,0,0
alternatif_turizm,1,1,1,1,1,4,0,0
çocuk_bakım_hizmetleri,2,2,0,0,0,0,1,1
karadeniz,8,10,4,4,1,2,1,0
özyönetim,0,0,0,0,0,0,17,2
jeotermal,6,6,1,1,2,3,0,0
mülteci,2,2,0,18,0,3,6,1
futbol,2,2,1,1,0,0,1,1
iran,0,0,5,5,0,3,0,0
uyuşturucu_madde,2,2,0,0,1,1,2,2
milli_birlik,6,6,0,0,1,10,0,0
ilköğretim,5,5,8,7,2,8,0,0
işsiz,11,12,22,33,3,20,14,16
uluslararası_rekabet,3,3,2,4,1,12,0,0
basın,4,4,3,7,1,5,3,3
gazi,12,12,2,11,6,15,0,0
vatandaş,179,192,3,17,26,137,2,3
afrika,8,8,6,5,2,3,0,0
tiyatro,8,9,3,3,1,2,0,0
hukuk_devleti,5,5,14,20,3,10,0,0
finans,96,99,33,24,11,67,4,4
ithalat,14,14,4,6,2,18,1,1
doğal_gaz,22,21,7,7,2,7,0,0
öğrenci,85,92,61,67,5,31,8,9
yid,6,6,0,0,0,0,0,0
ataerkil,0,0,3,3,0,0,2,2
oecd,4,4,4,4,0,2,0,0
ar-ge,46,53,31,29,14,41,0,0
kürt,2,2,7,16,0,0,6,7
asgari_ücret,10,12,13,12,10,16,2,5
başkanlık_sistemi,9,9,1,1,0,0,5,4
kıdem_tazminatı,3,3,2,2,1,2,4,5
bilimsel_araştırma,1,1,6,6,1,4,0,0
şeffaflık,10,10,15,9,0,7,0,0
kadın-erkek_fırsat_eşitliği,2,3,1,1,0,0,0,0
sivil_toplum,24,29,15,17,2,28,2,1
insan_kaynakları,5,5,4,2,1,6,0,0
toki,2,3,8,7,0,2,0,0
e-devlet,21,22,3,3,0,3,0,0
kayıt_dışı,27,27,10,12,0,0,1,1
alevi,2,2,0,0,3,9,1,2
bilgi_sistemleri,4,4,1,2,0,1,0,0
işgücü_piyasası,13,13,0,0,2,11,0,0
okul_öncesi_eğitim,6,6,11,10,2,6,0,0
ihracat,63,64,5,5,9,47,0,0
kıbrıs,4,4,14,13,3,17,1,1
vize_muafiyeti,3,3,0,0,0,0,0,0
göç,8,10,5,5,3,14,12,11
teknoloji_transferi,3,3,1,1,0,5,0,0
vicdan_özgürlüğü,0,0,2,1,0,7,5,5
hoşgörü,1,1,9,8,0,3,0,0
sosyal_konut,0,0,2,2,2,3,1,1
organik,4,4,6,6,0,2,0,0
roman,4,4,0,0,0,0,0,0
millî_kültür,1,1,0,0,2,8,0,0
suriye,11,14,21,40,3,8,6,1
işkence,4,4,4,5,0,1,2,1
yaşam_kalitesi,8,9,10,7,0,5,0,0
helikopter,8,6,0,0,0,1,0,0
iş_birliği,0,0,53,64,0,11,0,0
kuzey_afrika,5,5,2,2,1,1,0,0
ptt,4,4,0,0,0,0,0,0
bağ-kur,12,12,0,0,0,1,0,0
türkiye,235,257,196,279,35,234,34,26
rusya,5,5,15,14,3,8,0,0
küresel_rekabet,2,2,5,3,0,1,0,0
çed,2,2,10,10,0,2,0,0
ekoturizm,3,3,0,0,0,1,0,0
katma_değerli_üretim,1,1,5,8,0,1,0,0
gsyh,30,28,3,4,3,8,1,1
sağlık_hizmetleri,20,20,36,30,3,13,6,6
özerk,6,4,33,37,1,8,11,14
özel_sektör,59,61,15,15,4,39,1,1
hes,38,48,26,33,6,39,6,5
tekirdağ,3,3,0,0,0,0,0,0
doğa_dostu,0,0,11,8,0,0,0,0
kobi,40,41,23,17,9,33,2,2
din,42,45,28,26,4,42,14,12
