,AKP1,AKP2,CHP1,CHP2,MHP1,MHP2,HDP1,HDP2
ekonomi,37,41,30,32,4,31,2,2
ekonomi,14,14,0,0,0,0,0,0
ekonomi,1,1,9,13,0,0,6,6
ekonomi,9,9,28,24,2,15,1,1
ekonomi,10,13,0,0,1,1,0,0
ekonomi,3,4,8,7,2,6,0,0
ekonomi,6,6,6,7,0,7,4,3
ekonomi,13,12,1,1,0,0,0,0
ekonomi,16,16,5,5,3,3,0,0
ekonomi,10,13,25,24,15,48,3,3
ekonomi,27,27,11,13,1,12,6,6
ekonomi,8,8,7,6,0,0,0,0
ekonomi,6,6,1,1,0,3,1,1
ekonomi,90,102,27,36,10,48,0,0
ekonomi,16,18,3,4,1,7,0,0
ekonomi,8,8,0,1,3,12,0,0
ekonomi,6,6,1,1,1,1,0,0
ekonomi,1,1,22,22,1,1,0,0
ekonomi,9,9,0,0,2,11,0,0
ekonomi,1,1,1,1,1,4,0,0
ekonomi,6,6,1,1,2,3,0,0
ekonomi,2,2,0,18,0,3,6,1
ekonomi,11,12,22,33,3,20,14,16
ekonomi,3,3,2,4,1,12,0,0
ekonomi,96,99,33,24,11,67,4,4
ekonomi,14,14,4,6,2,18,1,1
ekonomi,6,6,0,0,0,0,0,0
ekonomi,4,4,4,4,0,2,0,0
ekonomi,46,53,31,29,14,41,0,0
ekonomi,10,12,13,12,10,16,2,5
ekonomi,1,1,6,6,1,4,0,0
ekonomi,10,10,15,9,0,7,0,0
ekonomi,5,5,4,2,1,6,0,0
ekonomi,2,3,8,7,0,2,0,0
ekonomi,27,27,10,12,0,0,1,1
ekonomi,13,13,0,0,2,11,0,0
ekonomi,63,64,5,5,9,47,0,0
ekonomi,8,10,5,5,3,14,12,11
ekonomi,3,3,1,1,0,5,0,0
ekonomi,8,9,10,7,0,5,0,0
ekonomi,8,6,0,0,0,1,0,0
ekonomi,12,12,0,0,0,1,0,0
ekonomi,2,2,5,3,0,1,0,0
ekonomi,3,3,0,0,0,1,0,0
ekonomi,1,1,5,8,0,1,0,0
ekonomi,30,28,3,4,3,8,1,1
ekonomi,59,61,15,15,4,39,1,1
ekonomi,38,48,26,33,6,39,6,5
ekonomi,40,41,23,17,9,33,2,2
genç,0,0,4,4,0,1,1,1
genç,22,23,25,27,2,9,5,5
genç,14,19,36,43,4,22,4,4
genç,23,23,14,13,3,14,0,0
genç,5,5,0,0,0,0,0,0
genç,0,0,1,1,1,4,3,2
genç,6,7,2,2,1,2,0,0
genç,14,16,1,1,0,1,0,0
genç,31,35,39,42,2,9,27,17
genç,6,6,20,23,4,17,1,1
genç,13,13,16,15,2,8,0,0
genç,21,28,27,32,18,101,1,1
genç,6,6,4,4,0,0,0,0
genç,9,9,6,7,0,1,0,0
genç,131,135,65,74,15,125,19,20
genç,26,26,7,8,1,15,0,0
genç,2,2,12,12,1,3,12,10
genç,4,4,20,16,0,1,1,1
genç,29,29,59,65,8,46,23,8
genç,1,1,9,13,0,0,6,6
genç,7,5,3,3,0,1,0,0
genç,52,56,65,85,1,39,21,14
genç,8,8,0,1,3,12,0,0
genç,3,3,0,0,0,0,0,0
genç,2,2,0,0,0,0,1,1
genç,2,2,1,1,0,0,1,1
genç,2,2,0,0,1,1,2,2
genç,5,5,8,7,2,8,0,0
genç,11,12,22,33,3,20,14,16
genç,8,9,3,3,1,2,0,0
genç,85,92,61,67,5,31,8,9
genç,46,53,31,29,14,41,0,0
genç,1,1,6,6,1,4,0,0
genç,2,3,1,1,0,0,0,0
genç,21,22,3,3,0,3,0,0
genç,6,6,11,10,2,6,0,0
genç,3,3,1,1,0,5,0,0
genç,4,4,6,6,0,2,0,0
genç,8,9,10,7,0,5,0,0
genç,3,3,0,0,0,1,0,0
türkiye coğrafyası,4,6,1,1,0,0,0,0
türkiye coğrafyası,11,10,1,1,0,0,0,0
türkiye coğrafyası,3,3,1,1,0,2,0,0
türkiye coğrafyası,7,8,1,1,0,0,0,0
türkiye coğrafyası,10,10,1,1,1,1,0,0
türkiye coğrafyası,3,4,3,3,1,1,0,0
türkiye coğrafyası,15,14,3,3,0,0,0,0
türkiye coğrafyası,4,7,0,0,0,0,0,0
türkiye coğrafyası,20,21,8,9,1,1,0,0
türkiye coğrafyası,5,6,5,5,0,1,0,0
türkiye coğrafyası,5,5,0,0,0,0,0,0
türkiye coğrafyası,3,3,0,0,2,3,0,0
türkiye coğrafyası,5,5,0,0,0,0,0,0
türkiye coğrafyası,14,16,1,1,0,1,0,0
türkiye coğrafyası,24,25,19,18,0,4,3,2
türkiye coğrafyası,5,7,12,17,1,13,7,5
türkiye coğrafyası,3,4,8,7,2,6,0,0
türkiye coğrafyası,13,12,1,1,0,0,0,0
türkiye coğrafyası,16,18,3,4,1,7,0,0
türkiye coğrafyası,6,6,1,2,0,0,0,0
türkiye coğrafyası,4,4,3,5,0,1,0,0
türkiye coğrafyası,7,8,26,37,1,1,0,0
türkiye coğrafyası,1,1,22,22,1,1,0,0
türkiye coğrafyası,8,10,4,4,1,2,1,0
türkiye coğrafyası,8,10,5,5,3,14,12,11
türkiye coğrafyası,8,6,0,0,0,1,0,0
türkiye coğrafyası,3,3,0,0,0,0,0,0
kürt sorunu,0,0,4,4,0,1,1,1
kürt sorunu,4,4,1,1,0,10,0,0
kürt sorunu,0,0,2,5,0,0,6,2
kürt sorunu,0,0,0,0,0,11,0,0
kürt sorunu,6,7,9,12,2,7,27,10
kürt sorunu,31,35,39,42,2,9,27,17
kürt sorunu,21,28,27,32,18,101,1,1
kürt sorunu,3,3,2,2,0,0,0,0
kürt sorunu,146,154,48,57,5,57,8,5
kürt sorunu,0,0,0,0,3,22,0,0
kürt sorunu,1,1,2,12,3,12,0,0
kürt sorunu,29,29,59,65,8,46,23,8
kürt sorunu,1,1,0,0,0,0,2,2
kürt sorunu,0,0,11,12,0,0,1,1
kürt sorunu,3,4,8,7,2,6,0,0
kürt sorunu,52,56,65,85,1,39,21,14
kürt sorunu,8,9,1,1,1,5,0,0
kürt sorunu,6,6,1,2,0,6,2,2
kürt sorunu,23,30,0,2,0,4,3,2
kürt sorunu,16,18,3,4,1,7,0,0
kürt sorunu,22,22,9,18,2,17,3,4
kürt sorunu,6,6,1,2,0,0,0,0
kürt sorunu,4,4,3,5,0,1,0,0
kürt sorunu,16,18,9,10,0,20,10,8
kürt sorunu,1,1,0,0,3,18,0,0
kürt sorunu,8,8,0,0,1,5,0,0
kürt sorunu,0,0,0,0,0,0,17,2
kürt sorunu,6,6,0,0,1,10,0,0
kürt sorunu,12,12,2,11,6,15,0,0
kürt sorunu,2,2,7,16,0,0,6,7
kürt sorunu,9,9,1,1,0,0,5,4
kürt sorunu,24,29,15,17,2,28,2,1
kürt sorunu,8,10,5,5,3,14,12,11
kürt sorunu,1,1,9,8,0,3,0,0
kürt sorunu,1,1,0,0,2,8,0,0
kürt sorunu,11,14,21,40,3,8,6,1
kürt sorunu,8,9,10,7,0,5,0,0
kürt sorunu,6,4,33,37,1,8,11,14
soyut kavramlar,0,0,4,4,0,1,1,1
soyut kavramlar,0,0,0,0,2,6,0,0
soyut kavramlar,4,4,1,1,0,10,0,0
soyut kavramlar,6,6,13,13,1,16,1,1
soyut kavramlar,0,0,2,5,0,0,6,2
soyut kavramlar,0,0,0,0,0,11,0,0
soyut kavramlar,35,46,43,46,16,44,35,37
soyut kavramlar,6,7,9,12,2,7,27,10
soyut kavramlar,0,0,8,8,0,0,0,0
soyut kavramlar,13,14,4,4,2,42,1,1
soyut kavramlar,31,29,0,0,0,0,0,0
soyut kavramlar,31,35,39,42,2,9,27,17
soyut kavramlar,3,3,2,2,0,0,0,0
soyut kavramlar,10,11,0,0,2,7,1,1
soyut kavramlar,37,41,30,32,4,31,2,2
soyut kavramlar,29,29,59,65,8,46,23,8
soyut kavramlar,1,1,0,0,0,0,2,2
soyut kavramlar,2,3,2,2,1,1,2,2
soyut kavramlar,52,56,65,85,1,39,21,14
soyut kavramlar,0,1,3,3,0,3,2,2
soyut kavramlar,8,9,1,1,1,5,0,0
soyut kavramlar,16,18,9,10,0,20,10,8
soyut kavramlar,1,1,0,0,3,18,0,0
soyut kavramlar,0,0,8,9,0,1,2,2
soyut kavramlar,35,35,1,1,0,0,2,2
soyut kavramlar,8,8,0,0,1,5,0,0
soyut kavramlar,6,6,27,26,0,11,9,7
soyut kavramlar,0,0,0,0,0,0,17,2
soyut kavramlar,6,6,0,0,1,10,0,0
soyut kavramlar,179,192,3,17,26,137,2,3
soyut kavramlar,5,5,14,20,3,10,0,0
soyut kavramlar,0,0,3,3,0,0,2,2
soyut kavramlar,10,10,15,9,0,7,0,0
soyut kavramlar,2,2,0,0,3,9,1,2
soyut kavramlar,0,0,2,1,0,7,5,5
soyut kavramlar,1,1,9,8,0,3,0,0
soyut kavramlar,4,4,0,0,0,0,0,0
soyut kavramlar,1,1,0,0,2,8,0,0
soyut kavramlar,8,9,10,7,0,5,0,0
soyut kavramlar,0,0,11,8,0,0,0,0
soyut kavramlar,42,45,28,26,4,42,14,12
